cliente_id,curvatura,porosidade,dano_quimico,ressecamento_opacidade,alta_porosidade_quimica,frizz_falta_definicao,transicao_capilar,couro_sensivel_oleoso,produto_usado,score_terapeutico_real,nota_satisfacao,cluster
CLI_0001,3,3,1,1,1,1,1,0,Arvensis Ativador de Cachos e Crespos,0.65,4,3
CLI_0002,4,1,1,0,0,0,1,1,Arvensis Geleia Forte Fixação,0.5,3,0
CLI_0003,2,1,0,0,0,1,0,0,Arvensis Geleia Forte Fixação,1.0,5,1
CLI_0004,2,3,1,1,1,1,1,0,Arvensis Ativador de Cachos e Crespos,0.65,3,3
CLI_0005,2,2,1,1,0,1,0,1,Curly Care Manteiga Nutritiva,0.467,2,0
CLI_0006,2,1,0,1,0,1,0,0,Arvensis Ativador de Cachos e Crespos,0.75,4,1
CLI_0007,3,1,0,1,0,1,0,1,Arvensis Geleia Forte Fixação,0.433,3,0
CLI_0008,2,1,0,0,0,1,1,1,Arvensis Co-Wash Suave Cachos Naturais,0.5,4,0
CLI_0009,3,3,1,1,1,0,0,0,Arvensis Geleia Forte Fixação,0.25,1,3
CLI_0010,3,3,1,1,1,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.4,3,3
CLI_0011,2,1,0,0,0,1,0,0,Arvensis Ativador de Cachos e Crespos,0.8,4,1
CLI_0012,2,3,0,1,0,1,0,1,Deva Curl Delight (Volume e Leveza),0.433,3,0
CLI_0013,3,1,0,1,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.55,3,2
CLI_0014,3,2,1,0,0,0,0,1,Curly Care ACID-C (Acidificante Antiporosidade),0.2,2,0
CLI_0015,3,2,0,0,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.6,4,1
CLI_0016,3,2,0,1,0,1,0,0,Arvensis Geleia Forte Fixação,0.6,3,2
CLI_0017,4,1,0,0,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.6,3,1
CLI_0018,4,3,1,1,1,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.75,4,3
CLI_0019,4,3,1,1,1,0,0,0,Arvensis Ativador de Cachos e Crespos,0.55,3,3
CLI_0020,4,1,0,1,0,0,0,1,Deva Curl Delight (Volume e Leveza),0.35,2,0
CLI_0021,4,3,1,1,1,1,0,0,Deva Curl Delight (Volume e Leveza),0.367,2,3
CLI_0022,4,1,0,1,0,0,0,0,Arvensis Ativador de Cachos e Crespos,0.7,1,2
CLI_0023,2,3,1,1,1,0,0,1,Deva Curl Delight (Volume e Leveza),0.3,3,3
CLI_0024,4,1,0,1,0,0,0,1,Deva Curl Delight (Volume e Leveza),0.35,2,0
CLI_0025,3,1,0,0,0,1,0,0,Curly Care Manteiga Nutritiva,0.4,3,1
CLI_0026,3,2,0,0,0,1,0,0,Arvensis Ativador de Cachos e Crespos,0.8,4,1
CLI_0027,3,2,1,1,0,0,0,0,Curly Care Manteiga Nutritiva,1.0,5,2
CLI_0028,3,2,1,1,1,1,0,0,Arvensis Ativador de Cachos e Crespos,0.633,4,3
CLI_0029,4,1,1,1,0,0,0,1,Deva Curl Delight (Volume e Leveza),0.35,2,0
CLI_0030,3,1,0,0,0,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.2,3,1
CLI_0031,3,1,0,0,1,1,1,1,Deva Curl Delight (Volume e Leveza),0.375,3,0
CLI_0032,3,3,0,0,1,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.3,3,1
CLI_0033,3,3,1,0,1,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),1.0,5,3
CLI_0034,3,3,1,1,1,1,1,1,Arvensis Geleia Forte Fixação,0.5,3,3
CLI_0035,3,2,0,1,0,1,0,0,Arvensis Geleia Forte Fixação,0.6,4,2
CLI_0036,3,2,0,0,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.6,4,1
CLI_0037,3,3,1,1,1,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.4,1,3
CLI_0038,4,3,0,1,0,1,1,1,Arvensis Ativador de Cachos e Crespos,0.575,4,0
CLI_0039,3,3,1,0,1,1,1,0,Arvensis Co-Wash Suave Cachos Naturais,0.3,3,3
CLI_0040,4,3,1,0,1,1,1,0,Arvensis Geleia Forte Fixação,0.733,5,3
CLI_0041,2,3,0,1,1,0,0,0,Arvensis Ativador de Cachos e Crespos,0.55,3,3
CLI_0042,3,2,1,1,0,1,0,0,Arvensis Ativador de Cachos e Crespos,0.75,4,2
CLI_0043,2,3,1,1,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.45,4,3
CLI_0044,3,1,0,0,0,1,0,1,Curly Care ACID-C (Acidificante Antiporosidade),0.4,3,0
CLI_0045,3,3,1,1,1,0,0,1,Deva Curl Delight (Volume e Leveza),0.3,4,3
CLI_0046,3,1,0,0,1,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),1.0,4,1
CLI_0047,3,2,1,1,1,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.75,4,3
CLI_0048,2,1,0,0,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.6,4,1
CLI_0049,3,1,0,1,1,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.4,3,2
CLI_0050,4,2,1,1,0,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.5,3,2
CLI_0051,2,1,0,0,0,1,0,0,Arvensis Ativador de Cachos e Crespos,0.8,4,1
CLI_0052,2,2,0,0,0,1,0,1,Deva Curl Delight (Volume e Leveza),0.5,3,0
CLI_0053,3,1,1,0,0,1,0,0,Curly Care Manteiga Nutritiva,0.4,2,1
CLI_0054,4,1,0,1,0,1,0,1,Arvensis Geleia Forte Fixação,0.433,3,0
CLI_0055,3,1,0,0,0,1,0,1,Arvensis Geleia Forte Fixação,0.55,3,0
CLI_0056,2,2,0,1,0,1,0,1,Curly Care Manteiga Nutritiva,0.467,2,0
CLI_0057,3,3,0,0,1,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.3,3,1
CLI_0058,3,3,1,0,1,1,1,0,Deva Curl Delight (Volume e Leveza),0.367,3,3
CLI_0059,2,3,1,1,1,0,1,0,Curly Care ACID-C (Acidificante Antiporosidade),0.667,4,3
CLI_0060,4,3,1,1,1,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.7,3,3
CLI_0061,3,3,0,0,1,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.3,3,1
CLI_0062,3,3,0,1,0,1,0,1,Curly Care Manteiga Nutritiva,0.467,3,0
